Zodis             pakartojimu skaicius  eilutese
10                2                     23 60
150000            2                     5 28
about             2                     16 41
american          2                     9 32
americas          2                     9 32
arent             2                     9 32
arriving          2                     5 28
atlanta           2                     7 30
away              2                     1 24
bag               2                     7 30
before            2                     5 28
biggest           2                     9 32
biometric         2                     7 30
cancun            2                     1 24
check             2                     7 30
chinas            2                     9 32
come              2                     43 55
compared          2                     53 58
costs             2                     3 26
creeps            2                     9 32
crimes            2                     9 32
data              2                     9 32
delta             2                     7 30
didnt             2                     51 64
different         2                     11 48
do                2                     41 55
doesnt            2                     58 64
dont              2                     15 39
drop              2                     7 30
earlier           2                     5 28
egates            2                     5 28
entire            2                     7 30
faceid            2                     11 48
facescanning      2                     41 58
familiar          2                     11 48
far               2                     41 57
faster            2                     7 30
fowler            2                     18 21
fowlerthe         2                     18 46
gets              2                     39 53
government        2                     9 32
happening         2                     11 48
help              2                     7 30
heres             2                     17 41
hope              2                     3 26
human             2                     41 57
if                2                     39 51
immigration       2                     16 43
inevitably        2                     9 32
just              2                     51 57
large             2                     9 32
largely           2                     5 28
life              2                     9 32
look              2                     18 51
makings           2                     9 32
may               2                     11 48
minutes           2                     7 30
mostly            2                     9 32
name              2                     9 32
needs             2                     43 55
nine              2                     7 30
normalize         2                     9 32
not               2                     62
often             2                     64
only              2                     3 26
opt               2                     35 37
our               2                     9 32
over              2                     5 28
pass              2                     17 46
passport          2                     1 24
past              2                     5 28
per               2                     7 30
police            2                     9 32
policy            2                     16 43
post              2                     18 46
privacy           2                     15 43
privacyinvading   2                     9 32
prototypes        2                     5 28
pull              2                     1 24
really            2                     16 43
right             2                     35 51
saving            2                     7 30
scale             2                     9 32
scanned           2                     5 28
states            2                     5 28
stolen            2                     9 32
stored            2                     9 32
stuff             2                     9 32
suspected         2                     9 32
systems           2                     41 64
terminal          2                     7 30
they              2                     5 28
ticket            2                     1 24
tracked           2                     9 32
treating          2                     9 32
united            2                     5 28
unproven          2                     5 28
unregulated       2                     5 28
uses              2                     7 30
verify            2                     5 28
where             2                     39 55
which             2                     55
who               2                     9 32
why               2                     15 17
wont              2                     1 24
work              2                     58 62
worth             2                     3 26
years             2                     5 28
yorks             2                     18 46
18                3                     1 24 39
airline           3                     5 28 53
airlines          3                     9 32 60
airports          3                     5 28 39
can               3                     9 32 64
efficiency        3                     9 16 32
f                 3                     1 24 46
facialrecognition 3                     5 28 64
flight            3                     1 24 41
get               3                     3 26 51
into              3                     9 32 51
john              3                     1 24 46
kennedy           3                     1 24 46
more              3                     41 60 64
need              3                     1 24 39
new               3                     18 24 46
now               3                     17 35 55
people            3                     9 32 55
put               3                     1 24 51
scanning          3                     9 32 46
seconds           3                     7 30 51
security          3                     7 30 41
smile             3                     10 15 47
state             3                     9 32 55
step              3                     9 32 51
than              3                     41 57 60
those             3                     3 26 55
through           3                     43 46 60
too               3                     1 24 64
unlocking         3                     11 48 58
very              3                     11 41 48
washington        3                     18 46
whats             3                     11 16 48
when              3                     51 53 60
be                4                     9 11 32 48
but               4                     39 53 62 64
camera            4                     10 47 51 64
convenience       4                     3 9 26 32
flights           4                     7 18 30 62
geoffrey          4                     18 21 46
have              4                     35 64
how               4                     9 32 37 43
iphone            4                     11 48 53 58
its               4                     3 9 26 32
jetblue           4                     5 18 28 64
out               4                     1 24 35 37
passenger         4                     7 30 39 64
passengers        4                     41 46 62
says              4                     7 30 57 64
scans             4                     7 15 30 53
thats             4                     9 32 43 55
trap              4                     9 15 32 43
already           5                     5 11 28 41 48
as                5                     9 32 39 58
egate             5                     46 51 53 60 62
from              5                     11 48 55
jetblues          5                     1 24 46 51 60
one               5                     3 26 39 51 55
or                5                     35 39 51 53 64
so                5                     3 26 39 41 62
this              5                     3 9 26 32 43
travelers         5                     5 28 35 55
yet               5                     5 9 28 32 58
boarding          6                     7 11 17 30 39 48
by                6                     21 41 43 46 53
gate              6                     1 11 24 39 48 55
me                6                     39 43 60
on                6                     35 41 43 51 62 64
two               6                     5 7 28 30 51 62
all               7                     3 5 9 26 28 32 39
are               7                     9 15 32 39 41 57
faces             7                     5 9 28 32 46
facial            7                     11 18 35 37 41 48 55
i                 7                     3 26 39 58 60 62 64
international     7                     5 7 28 30 35 46 55
technology        7                     5 9 22 28 32 43 57
us                7                     9 17 32 35 39 53
an                8                     7 11 30 46 48 53 58
board             8                     1 5 7 18 24 28 30 53
recognition       8                     11 16 18 35 37 41 48 55
